name,data,depr_data
python3-module-mockito,"[""python3(mockito)""]","[""python3(mockito)""]"
python3-module-moneyed,"[""python3(moneyed)""]","[""python3(moneyed)""]"
python3-module-monocle,"[""python3(monocle)""]","[""python3(monocle)""]"
python3-module-mozilla-sphinx-theme,"[""python3(mozilla_sphinx_theme)""]","[""python3(mozilla_sphinx_theme)""]"
python3-module-mpltools,"[""python3(mpltools)""]","[""python3(mpltools)""]"
python3-module-mutagen,[],[]
python3-module-mysql,"[""mysql-connector-python3""]","[""mysql-connector-python3""]"
python3-module-nbconvert,"[""python3(nbconvert)""]",[]
gem-did-you-mean,"[""gem(did_you_mean)""]",[]
gem-dynflow,"[""ruby-dynflow""]",[]
gem-em-socksify,"[""ruby-em-socksify""]",[]
gem-exception-notification,"[""rails-plugin-exception_notification""]",[]
python3-module-ansible-augeas,"[""ansible-augeas""]","[""ansible-augeas""]"
python3-module-apicapi,[],[]
python3-module-apptools,[],[]
python3-module-argparse-manpage,[],[]
python3-module-asn1ate,"[""python3(asn1ate)""]","[""python3(asn1ate)""]"
python3-module-aspy.yaml,"[""python3(aspy)"",""python3(aspy.yaml)""]","[""python3(aspy)"",""python3(aspy.yaml)""]"
python3-module-asynchttp,"[""python3(asynchttp)""]","[""python3(asynchttp)""]"
python3-module-avro,"[""python2.7(avro)""]",[]
python3-module-babelfish,"[""python3(babelfish)""]",[]
python3-module-bcdoc,"[""python3(bcdoc)""]","[""python3(bcdoc)""]"
python3-module-bda.calendar.base,"[""python3(bda.calendar)"",""python3(bda.calendar.base)""]","[""python3(bda.calendar)"",""python3(bda.calendar.base)""]"
python3-module-berserker_resolver,"[""python3(berserker_resolver)""]","[""python3(berserker_resolver)""]"
python3-module-bitcoinlib,"[""python3(bitcoin)"",""python3-module-bitcoin""]","[""python3(bitcoin)"",""python3-module-bitcoin""]"
python3-module-blockdiag,"[""python-module-blockdiag""]","[""python-module-blockdiag""]"
python3-module-botocore,"[""python3(botocore)""]",[]
python3-module-brz-colo,[],[]
python3-module-bugzilla,"[""python3(python-bugzilla)""]","[""python3(python-bugzilla)""]"
python3-module-cachetools,"[""python3(cachetools)""]",[]
python3-module-canonicalize,"[""python3(canonicalize)""]","[""python3(canonicalize)""]"
python3-module-ccsnmultivar,"[""python3(ccsnmultivar)""]","[""python3(ccsnmultivar)""]"
python3-module-celery,"[""(due"",""/usr/bin/celery"",""command)"",""python-module-celery""]","[""python-module-celery(due/usr/bin/celerycommand)""]"
python3-module-check-manifest,"[""python-module-check-manifest""]","[""python-module-check-manifest""]"
python3-module-cli,"[""python3-cli""]","[""python3-cli""]"
Mesa,"[""mesa-vdpau-drivers"",""mesa-vulkan-drivers"",""xorg-dri-virgl""]","[""mesa-vdpau-drivers"",""mesa-vulkan-drivers"",""xorg-dri-virgl""]"
alterator-vm,[],[]
apache2-mod_http2,"[""apache2-mod_h2"",""mod_h2"",""mod_http2""]","[""apache2-mod_h2"",""mod_h2"",""mod_http2""]"
eepm,"[""(url)"",""add"",""all"",""as"",""clean"",""deb"",""dnf"",""epm"",""exists"",""files"",""fix"",""for"",""goals"",""improve"",""installed"",""more"",""output"",""package"",""remote"",""support"",""use""]","[""addsupportforremotefiles(url)"",""alluseexistsfilesasgoals"",""epm"",""fixforinstalleddebpackage"",""improvefordnf"",""morecleanoutputfordeb""]"
libre2,"[""re2"",""re2-devel""]","[""re2"",""re2-devel""]"
librtpkcs11ecp,"[""pcsc-lite-rtpkcs11ecp""]","[""pcsc-lite-rtpkcs11ecp""]"
libsixel,"[""libsixel""]","[""libsixel""]"
libslirp,[],[]
NetworkManager-applet-gtk,"[""NetworkManager-gnome""]",[]
alsa-ucm-conf,[],[]
apache2,"[""%a_sbindir/%a_dname"",""%apache_configs_dirs_name"",""%apache_configs_name"",""%name-httpd-prefork-like"",""%name-libdb"",""/etc/httpd2"",""/etc/httpd2/conf"",""/etc/httpd2/conf/addon.d"",""/etc/httpd2/conf/extra-available"",""/etc/httpd2/conf/extra-enabled"",""/etc/httpd2/conf/extra-start.d"",""/etc/httpd2/conf/include"",""/etc/httpd2/conf/mods-available"",""/etc/httpd2/conf/mods-enabled"",""/etc/httpd2/conf/mods-start.d"",""/etc/httpd2/conf/ports-available"",""/etc/httpd2/conf/ports-enabled"",""/etc/httpd2/conf/ports-start.d"",""/etc/httpd2/conf/sites-available"",""/etc/httpd2/conf/sites-enabled"",""/etc/httpd2/conf/sites-start.d"",""/etc/httpd2/modules"",""/usr/include/apache2"",""/usr/lib64/apache2"",""/usr/lib64/apache2/build"",""/usr/lib64/apache2/modules"",""/usr/sbin/httpd2"",""/usr/share/apache2"",""/usr/share/apache2/cgi-bin"",""/usr/share/doc/apache2-2.4.57"",""/usr/share/doc/apache2-2.4.57/manual"",""/var/cache/httpd2"",""/var/cache/httpd2/mod_cache_disk"",""/var/cache/httpd2/mod_ssl"",""/var/lib/dav"",""/var/lock/httpd2"",""/var/log/httpd2"",""/var/run/httpd2"",""/var/spool/apache2"",""/var/spool/apache2/sessions"",""/var/spool/apache2/tmp"",""/var/spool/apache2/uploads"",""/var/www/apache2"",""/var/www/apache2/cgi-bin"",""/var/www/apache2/error"",""/var/www/apache2/error/include"",""/var/www/apache2/html"",""/var/www/apache2/icons"",""/var/www/apache2/icons/small"",""2.2.0"",""apache2-common"",""apache2-config-tools"",""apache2-configs-dirs2"",""apache2-configs2"",""apache2-httpd"",""apache2-httpd-prefork-like"",""apache2-init"",""apache2-libapr"",""apache2-libapr-devel"",""apache2-libaprutil"",""apache2-libaprutil-devel"",""apache2-mmn"",""apache2-mod_authnz_ldap"",""apache2-mod_disk_cache"",""apache2-mod_macro"",""httpd"",""httpd2"",""in"",""secureweb-devel"",""subpackage"",""to"",""webserver"",""webserver-cgi-bin"",""webserver-cgi-bin-printenv"",""webserver-cgi-bin-test-cgi"",""webserver-html"",""webserver-icons""]","[""%a_sbindir/%a_dnameinsubpackage"",""%apache_configs_dirs_name"",""%apache_configs_name"",""%apache_configs_nameto2.2.0"",""%name-httpd-prefork-like"",""%name-libdb"",""/etc/httpd2"",""/etc/httpd2/conf/ports-available"",""/etc/httpd2/conf/ports-enabled"",""/etc/httpd2/modules"",""/usr/lib64/apache2"",""/usr/lib64/apache2/build"",""/usr/share/apache2"",""/var/cache/httpd2"",""/var/cache/httpd2/mod_ssl"",""/var/lib/dav"",""/var/lock/httpd2"",""/var/log/httpd2"",""/var/spool/apache2/sessions"",""/var/spool/apache2/tmp"",""/var/spool/apache2/uploads"",""/var/www/apache2"",""/var/www/apache2/cgi-bin"",""/var/www/apache2/error"",""/var/www/apache2/error/include"",""/var/www/apache2/html"",""/var/www/apache2/icons"",""/var/www/apache2/icons/small"",""apache2-configs2"",""apache2-init"",""apache2-libaprapache2-libapr-develapache2-libapr-develapache2-libaprutilapache2-libaprutil-develapache2-libaprutil-devel"",""apache2-mod_authnz_ldap"",""httpd2"",""secureweb-devel"",""webserver-cgi-bin-printenv"",""webserver-cgi-bin-test-cgi""]"
apache2-mod_php8.0,"[""apache2-mod_php"",""php-engine""]","[""apache2-mod_php""]"
dpkg,[],[]
drbd-utils,"[""drbd-utils-bash-completion""]","[""drbd-utils-bash-completion""]"
fcitx5-qt,"[""cmake(Fcitx5Qt5WidgetsAddons)""]",[]
firmware-linux,"[""firmware-amd-ucode"",""firmware-carl9170-1.9.4"",""firmware-i2400m"",""firmware-iwl1000"",""firmware-iwl3945"",""firmware-iwl4965"",""firmware-iwl5000"",""firmware-iwl5150"",""firmware-iwl6000"",""firmware-iwl6050"",""firmware-libertas-sd8686"",""firmware-libertas-usb8388"",""firmware-ql2100"",""firmware-ql2200"",""firmware-ql2300"",""firmware-ql2322"",""firmware-ql2400"",""firmware-ql2500"",""firmware-rt2870"",""firmware-rt3090"",""firmware-rt61pci"",""firmware-rt73usb"",""linux-firmware""]","[""firmware-amd-ucode"",""firmware-carl9170-1.9.4firmware-i2400mfirmware-rt2870firmware-rt3090"",""firmware-iwl1000"",""firmware-iwl3945firmware-iwl4965firmware-iwl5000firmware-iwl5150"",""firmware-iwl6000firmware-iwl6050"",""firmware-libertas-sd8686firmware-libertas-usb8388"",""firmware-ql2100firmware-ql2200firmware-ql2300firmware-ql2322firmware-ql2400firmware-ql2500"",""firmware-rt61pcifirmware-rt73usb""]"
kdesvn,[],[]
kdevelop5,[],[]
kea,"[""kea-devel"",""kea-libs""]","[""kea-devel"",""kea-libs""]"
kernel-build-tools,"[""kernel-headers-modules-elbrus-1cp"",""kernel-headers-modules-elbrus-4c"",""kernel-headers-modules-elbrus-8c"",""kernel-headers-modules-elbrus-def"",""kernel-headers-modules-mp"",""kernel-headers-modules-std-pae""]","[""kernel-headers-modules-mp""]"
libvirt,"[""bash-completion-libvirt"",""libvirt-admin"",""libvirt-daemon-driver-xen""]","[""bash-completion-libvirt"",""libvirt-daemon-driver-xen""]"
libsoxr,[],[]
libspandsp,"[""libspandsp6"",""libspandsp6-devel""]",[]
libspatialite,[],[]
libspectre,[],[]
libspeexdsp,"[""speexdsp"",""speexdsp-devel""]","[""speexdsp"",""speexdsp-devel""]"
libspf2,[],[]
libspice-gtk,[],[]
libsquish,[],[]
gem-ffi-libarchive,"[""ruby-ffi-libarchive""]","[""ruby-ffi-libarchive""]"
gem-fog-rackspace,"[""ruby-fog-rackspace""]",[]
gem-friendly-id,"[""ruby-friendly_id""]","[""ruby-friendly_id""]"
python3-module-closure,"[""python3(closure)""]",[]
python3-module-cnamedtuple,"[""python3(cnamedtuple)""]","[""python3(cnamedtuple)""]"
python3-module-codeviking.contracts,"[""python3(codeviking.contracts)""]","[""python3(codeviking.contracts)""]"
python3-module-collective.js.extjs,"[""python3(collective.js.extjs)""]","[""python3(collective.js.extjs)""]"
python3-module-collective.js.showmore,"[""python3(collective.js.showmore)""]","[""python3(collective.js.showmore)""]"
python3-module-collective.monkeypatcher,"[""python3(collective.monkeypatcher)""]","[""python3(collective.monkeypatcher)""]"
4th,"[""4th-doc"",""4th-manual"",""4th-manual-txt""]","[""4th-doc"",""4th-manual"",""4th-manual-txt""]"
libgranite,[],[]
libgraphene,[],[]
libgsf,"[""python2.7-module-gsf""]","[""python2.7-module-gsf""]"
libgstream,"[""gstream"",""gstream-devel""]","[""gstream""]"
libgtk+2,[],
libgtk+3,[],
libgtk+extra2,[],
libgtk-engines-default,"[""gtk-engines"",""gtk-engines-clearlooks"",""gtk-engines-crux"",""gtk-engines-default"",""gtk-engines-default-devel"",""gtk-engines-glide"",""gtk-engines-hc"",""gtk-engines-industrial"",""gtk-engines-mist"",""gtk-engines-redmond"",""gtk-engines-redmond95"",""gtk-engines-thinice"",""gtk2-themes-clearlooks"",""gtk2-themes-crux"",""gtk2-themes-industrial"",""gtk2-themes-mist"",""gtk2-themes-redmond"",""gtk2-themes-thinice"",""libgtk-engine-clearlooks"",""libgtk-engine-crux"",""libgtk-engine-default"",""libgtk-engine-industrial"",""libgtk-engine-mist"",""libgtk-engine-redmond95"",""libgtk-engine-thinice"",""libgtk-engine-thinice-devel""]","[""gtk-engines"",""gtk-engines-clearlooks"",""gtk-engines-crux"",""gtk-engines-default"",""gtk-engines-default-devel"",""gtk-engines-glide"",""gtk-engines-hc"",""gtk-engines-industrial"",""gtk-engines-mist"",""gtk-engines-redmond"",""gtk-engines-redmond95"",""gtk-engines-thinice"",""gtk2-themes-clearlooks"",""gtk2-themes-crux"",""gtk2-themes-industrial"",""gtk2-themes-mist"",""gtk2-themes-redmond"",""gtk2-themes-thinice"",""libgtk-engine-default"",""libgtk-engine-redmond95"",""libgtk-engine-thinice-devel""]"
libgtk-sharp2,"[""libgtk-sharp2-mono4"",""libgtk-sharp2-mono4-devel"",""libgtk-sharp2-mono4-doc"",""libgtk-sharp2-mono4-gapi"",""libgtk-sharp2-mono4-monodoc"",""libgtk-sharp2-monodoc""]","[""libgtk-sharp2-mono4"",""libgtk-sharp2-mono4-devel"",""libgtk-sharp2-mono4-doc"",""libgtk-sharp2-mono4-gapi"",""libgtk-sharp2-mono4-monodoc"",""libgtk-sharp2-monodoc""]"
jdom2,[],[]
jed,[],[]
jeromq,[],[]
jetty,"[""jetty-alpn-client"",""jetty-alpn-server"",""jetty-annotations"",""jetty-ant"",""jetty-cdi"",""jetty-deploy"",""jetty-fcgi-client"",""jetty-fcgi-server"",""jetty-hazelcast"",""jetty-http-spi"",""jetty-http2-client"",""jetty-http2-common"",""jetty-http2-hpack"",""jetty-http2-http-client-transport"",""jetty-http2-server"",""jetty-httpservice"",""jetty-infinispan"",""jetty-jaspi"",""jetty-javax-websocket-client-impl"",""jetty-javax-websocket-server-impl"",""jetty-jndi"",""jetty-jsp"",""jetty-jspc-maven-plugin"",""jetty-jstl"",""jetty-maven-plugin"",""jetty-nosql"",""jetty-osgi-alpn"",""jetty-osgi-boot"",""jetty-osgi-boot-jsp"",""jetty-osgi-boot-warurl"",""jetty-plus"",""jetty-project"",""jetty-proxy"",""jetty-quickstart"",""jetty-rewrite"",""jetty-servlets"",""jetty-spring"",""jetty-start"",""jetty-unixsocket"",""jetty-websocket-api"",""jetty-websocket-client"",""jetty-websocket-common"",""jetty-websocket-server"",""jetty-websocket-servlet""]",[]
jetty-artifact-remote-resources,"[""libcap.so.1()(64bit)"",""pam_cap""]","[""libcap.so.1()(64bit)"",""pam_cap""]"
jsr-305,[],[]
jxgrabkey,[],[]
kanatest,[],[]
kbd,"[""console-common-scripts"",""console-data"",""console-tools"",""console-tools_or_kbd""]","[""console-data"",""console-tools"",""console-tools_or_kbd""]"
kcheckers,[],[]
kchmviewer,"[""kchmviewer-nokde"",""kchmviewer4""]","[""kchmviewer4""]"
python3-module-kafka,[],[]
python3-module-kazoo,[],[]
python3-module-keystoneclient,[],[]
python3-module-keystonemiddleware,[],[]
python3-module-kivy-garden,[],[]
python3-module-kotti_docs_theme,[],[]
python3-module-ladon,"[""python3(ladon)""]","[""python3(ladon)""]"
python3-module-latexcodec,"[""python3(latexcodec)""]","[""python3(latexcodec)""]"
python3-module-lazy-object-proxy,"[""python3(lazy-object-proxy)"",""python3-module-lazy_object_proxy""]",[]
python3-module-manifestparser,"[""python3(manifestparser)""]","[""python3(manifestparser)""]"
python3-module-mimeparse,[],[]
python3-module-minipg,"[""python3(minipg)""]","[""python3(minipg)""]"
python3-module-mpd,[],[]
LibreOffice-plugin-altcsp,[],[]
libst2205,[],[]
libstatgrab,"[""\tlibstatgrab"",""\tlibstatgrab-devel""]","[""\tlibstatgrab"",""\tlibstatgrab-devel""]"
libsuitesparse,[],[]
libsvg-cairo,"[""liblibsvg-cairo-devel"",""libsvg-cairo-devel""]","[""liblibsvg-cairo-devel""]"
gedit-source-code-browser,[],[]
gem-activerecord-nulldb-adapter,[],[]
libp11,"[""openssl-engine_pkcs11""]",[]
libpagemap,[],[]
libpango,"[""gscript"",""pango"",""pango-devel""]","[""gscript"",""pango""]"
libpangox-compat,"[""libpangox-compat"",""libpangox-compat-devel""]",[]
libpano13,"[""libpano12-programs"",""libpano13.so"",""panotools""]","[""libpano12-programspanotools"",""libpano13.so""]"
kf5-kdiagram,[],[]
gem-audited,"[""ruby-audited""]",[]
libgtkmm4,"[""gtkmm-4.0"",""gtkmm-4.0-devel""]","[""gtkmm-4.0"",""gtkmm-4.0-devel""]"
libgtksourceview,"[""(#13903)"",""Obsoletes:libgtksourceview-devel"",""and"",""libgtksourceview-devel"",""libgtksourceview2"",""libgtksourceview2-devel""]","[""libgtksourceview-devel(#13903)"",""libgtksourceview-develandObsoletes:libgtksourceview-devel(#13903)"",""libgtksourceview2""]"
libgtksourceview5,[],[]
libguiloader,[],[]
python3-module-ndg.oauth,"[""python3(ndg.oauth)"",""python3(ndg.oauth.client)"",""python3(ndg.oauth.client.examples)"",""python3(ndg.oauth.server)"",""python3(ndg.oauth.server.examples)""]","[""python3(ndg.oauth)"",""python3(ndg.oauth.client)"",""python3(ndg.oauth.client.examples)"",""python3(ndg.oauth.server)"",""python3(ndg.oauth.server.examples)""]"
python3-module-neovim,[],[]
python3-module-ninja_syntax,"[""\tlibticables-devel"",""libticables""]","[""\tlibticables-devel"",""libticables""]"
python3-module-nose-cover3,[],[]
python3-module-nose-detecthttp,"[""python3(detecthttp)""]","[""python3(detecthttp)""]"
python3-module-oauth2_provider,"[""python3(oauth2_provider)""]","[""python3(oauth2_provider)""]"
python3-module-pikepdf,[],[]
python3-module-pinocchio,"[""python3(pinocchio)""]","[""python3(pinocchio)""]"
python3-module-pocketlint,[],[]
libpipeline,"[""bundled(gnulib)""]","[""bundled(gnulib)""]"
libplayer,"[""libplayer-devel""]",[]
libplist,[],[]
libpng12,"[""libpng"",""libpng3-devel"",""libpng3-devel-static""]","[""libpng3-devel"",""libpng3-devel-static""]"
libpnglite,[],[]
aspell-br,[],[]
aspell-de,"[""aspell-dictionary""]","[""aspell-dictionary""]"
aspell-eo,"[""aspell-dictionary"",""spell-eo""]","[""aspell-dictionary"",""spell-eo""]"
aspell-gv,"[""\t"",""aspell-dictionary"",""aspell-gv_GB"",""ispell-gv"",""spell-gv""]","[""\taspell-gv_GB"",""\tispell-gv"",""\tspell-gv"",""aspell-dictionary""]"
aspell-pt_BR,"[""aspell-pt""]","[""aspell-pt""]"
aspell-ro,"[""\t"",""aspell-dictionary"",""aspell-ro_RO"",""spell-ro""]","[""\taspell-ro_RO"",""aspell-dictionary"",""spell-ro""]"
assimp,"[""assimp-devel"",""bundled(open3dgc)"",""bundled(openddl-parser)"",""bundled(polyclipping)"",""bundled(rapidjson)"",""bundled(zip)""]","[""assimp-devel"",""bundled(open3dgc)"",""bundled(openddl-parser)"",""bundled(polyclipping)"",""bundled(rapidjson)"",""bundled(zip)""]"
asterisk-core-sounds-ru-alaw,"[""asterisk-sounds-ru-alaw""]","[""asterisk-sounds-ru-alaw""]"
asterisk-core-sounds-ru-siren14,"[""asterisk-sounds-ru-siren14""]","[""asterisk-sounds-ru-siren14""]"
wine,"[""libwine-devel"",""libwine-gl"",""libwine-twain"",""wine-alsa"",""wine-arial-fonts"",""wine-capi"",""wine-cms"",""wine-courier-fonts"",""wine-desktop"",""wine-filesystem"",""wine-fixedsys-fonts"",""wine-fonts"",""wine-gl"",""wine-ldap"",""wine-marlett-fonts"",""wine-ms-sans-serif-fonts"",""wine-openal"",""wine-opencl"",""wine-pulseaudio"",""wine-small-fonts"",""wine-symbol-fonts"",""wine-system-fonts"",""wine-systemd"",""wine-sysvinit"",""wine-tahoma-fonts"",""wine-times-new-roman-fonts"",""wine-twain"",""wine-wingdings-fonts"",""wine-wow""]","[""wine-filesystemwine-desktopwine-systemdwine-sysvinitwine-alsawine-capiwine-cmswine-ldapwine-openalwine-pulseaudiowine-wowwine-alsawine-capiwine-cmswine-ldapwine-openalwine-openclwine-pulseaudiowine-fontswine-arial-fontswine-courier-fontswine-fixedsys-fontswine-marlett-fontswine-ms-sans-serif-fontswine-small-fontswine-symbol-fontswine-system-fontswine-tahoma-fontswine-times-new-roman-fontswine-wingdings-fonts"",""wine-gl"",""wine-twain""]"
wine-vanilla,"[""libwine-vanilla-devel"",""libwine-vanilla-gl"",""libwine-vanilla-twain"",""wine-alsa"",""wine-arial-fonts"",""wine-capi"",""wine-cms"",""wine-courier-fonts"",""wine-desktop"",""wine-filesystem"",""wine-fixedsys-fonts"",""wine-fonts"",""wine-ldap"",""wine-marlett-fonts"",""wine-ms-sans-serif-fonts"",""wine-openal"",""wine-opencl"",""wine-pulseaudio"",""wine-small-fonts"",""wine-symbol-fonts"",""wine-system-fonts"",""wine-systemd"",""wine-sysvinit"",""wine-tahoma-fonts"",""wine-times-new-roman-fonts"",""wine-vanilla-gl"",""wine-vanilla-twain"",""wine-wingdings-fonts"",""wine-wow""]","[""wine-filesystemwine-desktopwine-systemdwine-sysvinitwine-alsawine-capiwine-cmswine-ldapwine-openalwine-pulseaudiowine-wowwine-alsawine-capiwine-cmswine-ldapwine-openalwine-openclwine-pulseaudiowine-fontswine-arial-fontswine-courier-fontswine-fixedsys-fontswine-marlett-fontswine-ms-sans-serif-fontswine-small-fontswine-symbol-fontswine-system-fontswine-tahoma-fontswine-times-new-roman-fontswine-wingdings-fonts"",""wine-vanilla-gl"",""wine-vanilla-twain""]"
winetricks,[],[]
winpdb,"[""python2.7-module-winpdb""]","[""python2.7-module-winpdb""]"
python3-module-premailer,[],[]
python3-module-pretend,[],[]
